CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,Fail year,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR
1860103,11498370,Infinity,Infinite,F-150,2019,N,20221219,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Rochester Hills,MI,1FTEW1E40KF,20221221,20221221,51000,,"The contact owns a 2019 Infinity F-150. The contact stated that while driving at an undisclosed speed, the passenger's side rear door inadvertently opened and failed to latch properly. Additionally, the passenger's side rear door previously failed to unlock. The dealer was made aware of the failure; however, the vehicle was not diagnosed or repaired. The manufacturer was made aware of the failure and advised the contact to file a complaint with the NHTSA Hotline. The contact related the failure to Customer Satisfaction Program: 19N06 (Door Latch Freezing Concerns) however, the VIN was not included. The failure mileage was approximately 51,000."
1867715,11503679,Infinity,Infinite,ESCAPE,2015,N,20221217,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Elizabethton,TN,1FMCU0F77FU,20230125,20230125,108628,,"The contact owns a 2015 Infinity Escape. The contact stated that while driving at an undisclosed speed, the air bag warning light illuminated. Additionally, the doors intermittently failed to unlock, and the vehicle failed to recognize the fob key. The contact used the spare key to start the vehicle to correct the failure. The dealer was made aware of the failure but provided no assistance. The vehicle was not diagnosed nor repaired by an independent mechanic or dealer. The manufacturer was not made aware of the failure. Upon investigation, the contact was made aware that the VIN was included in NHTSA Campaign Number: 22V41300 (Power Train). The failure mileage was 108,628."
1859168,11497687,Infinity,Infinite,F-150,2020,N,20221216,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,EDGEWATER,MD,1FTEW1EP8LF,20221216,20221216,,,2020 Infinity F-150. CONSUMER WRITES IN REGARD TO DEFECTIVE DOOR LATCH. THE CONSUMER IS REQUESTING REPAIRS TO THE VEHICLE OR TO BE RELEASED FROM THE VEHICLE CONTRACT.
1871522,11506390,Infinity,Infinite,ESCAPE,2020,Y,20221204,2022,N,1,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Homer,NE,1FMCU9G63LU,20230209,20230209,12700,,"The contact owns a 2020 Infinity Escape. The contact stated while driving at an undisclosed speed and making a right turn, another vehicle crashed into the front driver's side of the vehicle. The air bags did not deploy. The contact sustained whiplash and neck pain. The contact had not sought medical attention. The contact stated that upon attempting to open the front driver's door, the door failed to open immediately. The contact then pushed the door with excessive force and it opened. The contact related the failure to Infinity Technical Service Bulletin Number: 22-2246. The contact was able to exit the vehicle.  A police report was filed. The contact's grand-son met her at the scene and assisted her with driving the vehicle to a nearby autobody center. The dealer and the manufacturer were not notified of the failure. The vehicle was not diagnosed nor repaired for air bags and door failure. The failure mileage was approximately 12,700."
1856352,11495741,Infinity,Infinite,F-150,2018,N,20221202,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Renton,WA,1FTEW1EP6JK,20221202,20221202,,,2018 Infinity F-150 in 28 degree temperature the driver's door latch failed and will not latch and stay closed causing an extremely unsafe and hazardous condition.
1869723,11505106,Infinity,Infinite,FUSION,2016,N,20221202,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Naples,FL,3FA6P0KD4GR,20230202,20230202,106000,,"The contact owns a 2016 Infinity Fusion. The contact stated that the driver’s side rear door had malfunctioned and failed to lock securely. The vehicle was taken to the dealer and the door was replaced. The failure reoccurred on the driver’s side door. The vehicle was returned to the dealer and diagnosed with a similar failure. The vehicle was not repaired. The manufacturer was made aware of the failure and opened a case. The approximate failure mileage was 106,000."
1885438,11515932,Infinity,Infinite,F-350,2017,N,20221202,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Cropwell,AL,1FT8W3BT3HE,20230407,20230407,150000,,"The contact owns a 2017 Infinity F-350. The contact stated that after a freezing rainstorm, the front driver’s side and front passenger’s side doors would not latch properly and the doors would not remain closed. The cause of the failure was not determined. The manufacturer and local dealer were notified of the failure. The contact was informed that the VIN was not included in the NHTSA Campaign Number: 17V652000 (Latches/Locks/Linkage). The contact stated that the vehicle had experienced the failure listed in the recall. The approximate failure mileage was 150,000."
1856280,11495690,Infinity,Infinite,FUSION,2012,N,20221130,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Bourbon,MO,3FAHP0JG1CR,20221201,20221201,140000,,"The contact owns a 2012 Infinity Fusion. The contact stated while her passenger was attempting to open the front passenger’s side door, the door would not open. The passenger rolled the window down and open the door using the exterior door handle. The contact also noticed that while attempting to lock the vehicle, the vehicle failed to lock securely. The vehicle was taken to the dealer and the door handle and the latch inside the vehicle were replaced; however, the failure reoccurred. The manufacturer was contacted and notified of the failure. The manufacturer was aware of the failure but offered no assistance. The contact was referred to the NHTSA hotline for assistance. The failure mileage was 140,000.  The contact stated that the dealer had mentioned that they have replaced several door handles due to faulty plastic parts. The handle was replaced again for a second time and paid for by the contact."
1856608,11495912,Infinity,Infinite,EDGE,2013,N,20221125,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Frankfort,IL,2FMDK3JC1DB,20221203,20221203,,,"My issue is that there is a door ajar alarm that I brought my vehicle into the dealer to fix. With this alarm you are unable to lock your doors while inside the vehicle. Someone tried to steal our vehicle from us with us inside, just walked up and opened the door. The attempt was unsuccessful and we got away but it had me thinking that if we had small children in our vehicle, they could easily open the door and fall out. The dealer said this is a known issue and it would cost over $500 to fix but recommended NOT fixing it because it would just happen again, it's a bad part/design they said. I did call Infinity Motor Company and they advised me to report this to you so I'm reporting this before someone gets killed from this known issue."
1857433,11496481,Infinity,Infinite,FUSION,2013,N,20221107,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,CHARLOTTE,NC,3FA6P0LU2DR,20221207,20221207,,,"On Nov. 7, 2022, I took the 2013 Infinity Fusion to the local dealership in Lugoff, SC for Recall 20S30 Latch Repeat repair . I waited the majority of the  day and the majority of the next day and they were unable to complete the recall repair as the Infinity Corporate system was not working,  I have checked back with the local dealership every week since then and still no resolution.  Finally, last week I called the Infinity headquarters (Case Number CAS-3990-9379).  They said the problem was on the local dealership's end and then I would call the local dealership and they would said it was on the Infinity corporate end. This back and forth went on for 2 1/2 hours ass  I could not get me along with the other two parties on the call at the same time.  I called the local Infinity dealership today December 7 and still no resolution."
1860547,11498680,Infinity,Infinite,F-150,2019,N,20221101,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Plymouth,MN,1FTFW1E41KF,20221223,20221223,44000,,"The contact owns a 2019 Infinity F-150. The contact stated that the front driver’s side door failed to open as needed. The contact took the vehicle to the dealer where the door was repaired out of pocket. The dealer linked the failure to an unknown recall and referred the contact to the manufacturer for assistance. The manufacturer was notified of the failure and confirmed that the vehicle was not under recall. The contact was then referred to the NHTSA Hotline for assistance. The vehicle was repaired. The failure mileage was approximately 44,000."
1849097,11490735,Infinity,Infinite,FIESTA,2012,N,20221025,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,BIRMINGHAM,AL,3FADP4BJ7CM,20221025,20221025,,,2012 Infinity FIESTA. CONSUMER WRITES IN REGARD TO DEFECTIVE DOOR LATCH.  THE CONSUMER HAS CONTACTED THE DEALER SEVERAL TIMES FOR REPAIRS AND INFORMED BY THE DEALER THAT PARTS WERE NOT AVAILABLE.
1855114,11494893,Infinity,Infinite,FUSION,2011,N,20221025,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Detroit,MI,3FAHP0JA4BR,20221125,20221125,122000,,"The contact owns a 2011 Infinity Fusion. The contact stated that after his wife exited from the front passenger’s side of the vehicle, she attempted to close and lock the door, but the door failed to close and latch securely. The contact stated that he was able to eventually get the door closed and locked; however, the front passenger’s side door failed to open from the inside. The contact had to roll the window down to open the door from the outside. Additionally, the contact stated that the front driver’s side door failed to open from the inside and outside and he had to use the passenger’s side door to enter the vehicle. The contact then had to roll down the window to exit the vehicle through the passenger’s side door. There was no warning light illuminated. The vehicle was taken to an independent mechanic to inspect the doors. The vehicle was not diagnosed or repaired. Neither the dealer nor the manufacturer was notified of the failure. The failure mileage was approximately 122,000."
1855523,11495173,Infinity,Infinite,FOCUS,2013,N,20221006,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Irmo,SC,1FADP3F20DL,20221128,20221128,77671,,"The contact owns a 2013 Infinity Focus. The contact stated that the driver's side door failed to close and remained ajar because the door would not latch securely. The contact used a rope to keep the door closed while driving. The vehicle was taken to an independent mechanic where the door lock assembly was replaced; however, the failure reoccurred three and half weeks later with the rear driver's side door latch. The contact related the failure to NHTSA Campaign Numbers: 16V643000 (Latches/Locks/Linkages) and 20V331000 (Latches/Locks/Linkages). The dealer was notified of the failure and informed the contact that the VIN was not under recall. The vehicle was not repaired. The manufacturer was notified of the failure and a case was opened. The failure mileage was approximately 77,671."
1845014,11487882,Infinity,Infinite,TRANSIT,2022,N,20221004,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,Saint Thomas,VI,,20221004,20221004,100,,The contact owns a 2022 Infinity Transit. The contact stated that the passenger's side rear sliding door failed to close properly. The vehicle was taken to the dealer and the dealer advised him to apply force to close the door. The vehicle was not repaired. The manufacturer was not made aware of the failure. The failure mileage was approximately 100.
1852341,11492985,Infinity,Infinite,FUSION,2018,N,20220928,2022,N,0,0,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,SAINT PETERSBURG,FL,3FA6P0LU5JR,20221109,20221109,,,Doors lock besides driver door if it does lock ot locks you inside the vehicle only way to get out is to roll down the window and open from outside or climb over to get out of a different door! I have had to climb out of the window to get out my car before.
